cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_fa_shi,40,naked,0,元素冲击,1084,2490,43.5,40
cls_fa_shi,40,naked,0,奥术弹幕,2598,2490,104.3,40
cls_fa_shi,40,naked,0,奥术飞弹,784,2490,31.5,40
cls_fa_shi,50,naked,0,元素冲击,2094,3560,58.8,50
cls_fa_shi,50,naked,0,双系连珠,0,3560,0.0,50
cls_fa_shi,50,naked,0,奥术弹幕,3118,3560,87.6,50
cls_fa_shi,50,naked,0,奥术飞弹,424,3560,11.9,50
cls_fa_shi,50,naked,0,奥术爆破,0,3560,0.0,50
cls_fa_shi,50,naked,0,奥术脉冲,960,3560,27.0,50
cls_fa_shi,60,naked,0,元素冲击,1714,4809,35.6,60
cls_fa_shi,60,naked,0,双系连珠,0,4809,0.0,60
cls_fa_shi,60,naked,0,元素引爆,0,4809,0.0,60
cls_fa_shi,60,naked,0,元素湮灭,0,4809,0.0,60
cls_fa_shi,60,naked,0,奥术弹幕,2586,4809,53.8,60
cls_fa_shi,60,naked,0,奥术飞弹,766,4809,15.9,60
cls_fa_shi,60,naked,0,奥术爆破,0,4809,0.0,60
cls_fa_shi,60,naked,0,奥术脉冲,1052,4809,21.9,60
cls_fa_shi,60,naked,0,奥术洪流,2401,4809,49.9,60
cls_fa_shi,70,naked,0,元素冲击,1238,6027,20.5,70
cls_fa_shi,70,naked,0,双系连珠,0,6027,0.0,70
cls_fa_shi,70,naked,0,元素引爆,0,6027,0.0,70
cls_fa_shi,70,naked,0,元素湮灭,0,6027,0.0,70
cls_fa_shi,70,naked,0,奥术弹幕,1945,6027,32.3,70
cls_fa_shi,70,naked,0,奥术飞弹,1242,6027,20.6,70
cls_fa_shi,70,naked,0,奥术爆破,0,6027,0.0,70
cls_fa_shi,70,naked,0,奥术脉冲,1573,6027,26.1,70
cls_fa_shi,70,naked,0,奥术洪流,2490,6027,41.3,70
cls_fa_shi,70,naked,0,元素迸发,0,6027,0.0,70
cls_fa_shi,70,naked,0,法术反制,387,6027,6.4,70
cls_fa_shi,80,naked,0,元素冲击,1782,7365,24.2,80
cls_fa_shi,80,naked,0,双系连珠,0,7365,0.0,80
cls_fa_shi,80,naked,0,元素引爆,0,7365,0.0,80
cls_fa_shi,80,naked,0,元素湮灭,0,7365,0.0,80
cls_fa_shi,80,naked,0,奥术弹幕,2992,7365,40.6,80
cls_fa_shi,80,naked,0,奥术飞弹,771,7365,10.5,80
cls_fa_shi,80,naked,0,奥术爆破,0,7365,0.0,80
cls_fa_shi,80,naked,0,奥术脉冲,1202,7365,16.3,80
cls_fa_shi,80,naked,0,奥术洪流,1881,7365,25.5,80
cls_fa_shi,80,naked,0,元素迸发,0,7365,0.0,80
cls_fa_shi,80,naked,0,法术反制,639,7365,8.7,80
cls_fa_shi,90,naked,0,元素冲击,2452,8823,27.8,90
cls_fa_shi,90,naked,0,双系连珠,0,8823,0.0,90
cls_fa_shi,90,naked,0,元素引爆,0,8823,0.0,90
cls_fa_shi,90,naked,0,元素湮灭,0,8823,0.0,90
cls_fa_shi,90,naked,0,奥术弹幕,7066,8823,80.1,90
cls_fa_shi,90,naked,0,奥术飞弹,1761,8823,20.0,90
cls_fa_shi,90,naked,0,奥术爆破,0,8823,0.0,90
cls_fa_shi,90,naked,0,奥术脉冲,1666,8823,18.9,90
cls_fa_shi,90,naked,0,奥术洪流,3127,8823,35.4,90
cls_fa_shi,90,naked,0,元素迸发,0,8823,0.0,90
cls_fa_shi,90,naked,0,法术反制,768,8823,8.7,90
cls_fa_shi,90,naked,0,元素裁决,0,8823,0.0,90
cls_fa_shi,90,naked,0,奥术爆发,2344,8823,26.6,90
cls_fa_shi,90,naked,0,奥术领域,0,8823,0.0,90
cls_fa_shi,100,naked,0,元素冲击,1786,10401,17.2,100
cls_fa_shi,100,naked,0,双系连珠,0,10401,0.0,100
cls_fa_shi,100,naked,0,元素引爆,0,10401,0.0,100
cls_fa_shi,100,naked,0,元素湮灭,0,10401,0.0,100
cls_fa_shi,100,naked,0,奥术弹幕,3756,10401,36.1,100
cls_fa_shi,100,naked,0,奥术飞弹,788,10401,7.6,100
cls_fa_shi,100,naked,0,奥术爆破,0,10401,0.0,100
cls_fa_shi,100,naked,0,奥术脉冲,1870,10401,18.0,100
cls_fa_shi,100,naked,0,奥术洪流,2384,10401,22.9,100
cls_fa_shi,100,naked,0,元素迸发,0,10401,0.0,100
cls_fa_shi,100,naked,0,法术反制,452,10401,4.3,100
cls_fa_shi,100,naked,0,万象风暴,4658,10401,44.8,100
cls_fa_shi,100,naked,0,万象天雷,0,10401,0.0,100
cls_fa_shi,100,naked,0,元素裁决,0,10401,0.0,100
cls_fa_shi,100,naked,0,奥术爆发,4663,10401,44.8,100
cls_fa_shi,100,naked,0,奥术领域,0,10401,0.0,100
cls_fa_shi,100,naked,0,大奥术,3532,10401,34.0,100
cls_fa_shi,100,naked,0,奥术主宰,0,10401,0.0,100
